2016-4-11 12:07:22,Ridgewood B,310c,Junior,9,I would definitely recommend this room to everyone. The ac really helps in the summer and I feel very comfortable living here. The best part is the island because it provides a place we can all sit and socialize (and is useful for cooking purposes as well).,#new #comfortable #clean ,Clogged shower for a short while but repair people came immediately.,5,3,4,5
2016-4-11 12:13:31,Ziv 127,302d,2015-2016,7,"The room is not too small, but it is shaped a little funny so it's hard to move around the furniture since they only fit in the room in specific ways. The walls are pretty thin so I can hear my suitemates talking through the walls even with the door closed.
The bathrooms aren't bad, the sinks look nice and the toilet has a environment friendly flush feature. The shower is a bit small, but at least there are two of them and there aren't too many conflicts with suitemates. Also, there aren't any active vents in the bathroom or shower. There is a vent that is more like just an opening, and doesn't move the air. The shower room has a window, but no other ventilation. The living room suite is actually pretty spacey and has a decent view.
My window is not tightly sealed so cold air comes in during the winter. But I do have control of the heating, which is pretty effective.
Room has glow in the dark stars on the ceiling :)",#thinwalls ,"The window isn't tightly sealed.
",4,2,1,3
2016-4-11 12:21:05,"Max and Ann Coffman, 150 Charles River Road",112C,2015-2016,7,We want air conditioning!!,#family #partyafterthetest #thinwalls,"thin walls, broken fans",3,4,4,5
2015-4-11 12:36:11,Pomerantz,416,2014-2015,8,Pretty standard room,#normal,"The lounge area was pretty lame, didn't facilitate hanging out really",3,1,1,3
2016-4-11 12:37:33,Ridgewood B,310c,2015-2016,9,The room was very nice to live in. I feel very comfortable living here. The ac is very helpful during the summer and the kitchen island is great as a place to hang out. The room also feels very big for a single. ,#new #comfortable #clean,"The shower was clogged for a bit, but this was fixed quickly after putting in a work order.",5,3,4,5
2016-4-11 12:41:13,Ziv 129,402,2015-2016,6,It's pretty good. Only downside is the people downstairs.,#weedsmell,"People below us smoked so much weed the smell came up through their ceiling into our us te. They were also very loud late at night, but after confronting them w/CA they stopped. ",4,4,3,4
2016-4-11 12:41:53,Pomerantz,502,2015-16,7," Lots of space, everything is fine- except the walls are really thin, so noise travels through really easily",#thinwalls,The showers are always clogging up :(,4,4,4,3
2014-4-11 12:47:21,Hassenfeld,641,2013-2014,5,Walls were too thin and could always hear neighbors loudly,#thinwalls,,4,4,2,3
2016-4-11 12:47:43,Reitman,109,2015-2016,7,"Very happy with the dorm. It's cozy and carpeted. Mostly clean. The ground floor looks pretty gross, but I don't live there, thank goodness. It also smells like weed a lot. Solid 7 out of 10.",#reitmanweedsmell #typicalcollegeliving,Smells like weed all the time. But thats mostly it. Can't complain. ,3,3,3,4
2016-4-11 12:47:59,Pomerantz,603,2015-2016,7,,#thinwalls #dirtylounge,"broken window, loud heater, clogged shower",3,3,3,5
2016-4-11 12:53:32,Usen Castle,302,2015-16,7,"I had a forced triple, but I feel that it was enough room to live comfortably. The location (next to sherman) was really convenient, but being on the third floor meant a lot of stairs to climb (it was a workout). The bathrooms were newly renovated and nice to use",#stairs ,It was hard to control the heat :(,3,2,2,2
2014-4-11 12:55:41,Shapiro,107,2013-2014,9,"My freshman year I had a double and there was actually a lot of space in my opinion. Outside my window I had a view of the Massell pond and the other dorms with lots of open sky. The heater was pretty effective and I could wear shorts in the middle of winter. For the most part it was pretty quiet, but it got loud sometimes when there were events in the lounge area at the end of the hall. ",#quiet ,,5,3,4,4
2016-4-11 13:14:27,East,201,2015-2016,8,Overall good since you can choose who you live with with for half the suite. Good location on campus. ,#thinwalls #weed #trashinthebuilding,"Terrible shower, loud neighbors, trash stored in the building",3,4,5,5
2015-4-11 13:22:55,Scheffres,307,2014-2015,8,"very nice, quiet",,Nahhhh ,5,4,3,4
2016-4-11 13:26:11,Hassenfeld,floor 4,2015-2016,8,not really,#quiet ,not really,4,3,3,4
2015-11-11 13:58:30,Ziv 130,302d,Fall 2015,8,"Room was small, but fit all my things adequately, so there wasn't much complaints there. The room was air-conditioned and the bathroom was recently renovated which both were nice perks. Biggest complaint was that the walls were thin, which lead to some obvious awkward moments with my suitemates. ",#quiet #clean #location #thinwalls,"Sometimes the elevator was randomly broken, which was annoying because I'm lazy, but also my friend got stuck in one. ",5,4,1,4
2015-4-11 14:30:17,Cable,331,2014-2015,7,"The room was extremely mediocre. It was a natural triple, and my second roommate moved out second semester, so there was tons of space. The inner room was the bedroom, the outer was the study room. All of the desks/cupboards had writing in them. All the furniture looked really uncleanly.",#broken #reallyneededheatinthewinter #thatwintertherewastoomuchsnow #needheat ,"Broken heater, falling curtains",2,2,1,4
2015-4-11 15:26:40,Ziv 127,504d,2014-2015,8,"This suite has big windows, which brings in more natural light into the common room. The stairs can be a bit much to the 5th floor but the elevator became my best friend! Room had the best closet of the rooms. ",#whatyoumakeit,"There was a draft by the window in my bed room. Facilities set up a window insulator kit, rather than replacing the window or a permanent solution .",3,3,3,4
2015-4-11 16:17:01,Usen Castle,1,2014-2015,7,Barely no one knows this dorm building. It is really quiet and close to laundry room. The ceiling is relatively higher than other rooms. I lived in double room and my room is much larger than other standard double room and we have one walk-in closet. The room has two large window facing to castle and one small window facing to the entrance (the room is on the first floor).,#quiet#cold#greatview,It is super COLD in October and the heating arrived 3 weeks later than the east. The shower room is so small ... like 1 square meter.,2,1,3,3
2016-4-11 16:36:18,Hassenfeld,5th floor,2015-2016,8,"Good sized double, nice big window, Not hard to split the room fairly equally between 2 people & have some space for friends to hang out. Near the bathroom, but at the end of a hallway.",#quiet corner,"On occasion there are centipedes/ ants. My neighbor's heater didn't work for a while. Our window broke while being opened, and has broken every so often since then. If there are loud people outside, they are always very audible inside.",4,3,2,4
